Provinsi,Indeks Pembangunan Manusia,PDRB per kapita (Ribu Rupiah),Angka Harapan Hidup ,Rata-Rata Lama Sekolah Penduduk Umur â‰¥ 15 Tahun Menurut Provinsi,Persentase Penduduk Miskin
ACEH,72.8,39156.01,68.07,9.79,10.35
SUMATERA UTARA,72.71,63194.18,67.35,9.99,8.63
SUMATERA BARAT,73.26,50593.41,67.7,9.51,4.90
RIAU,73.52,149914.13,69.82,9.54,6.49
JAMBI,72.14,76096.4,69.33,9.07,10.48
SUMATERA SELATAN,70.9,68338.1,68.11,8.82,11.37
BENGKULU,72.16,43741.71,67.54,9.28,14.53
LAMPUNG,70.45,45129.34,68.86,8.61,8.34
KEP. BANGKA BELITUNG,72.24,63752.24,68.86,8.57,3.48
KEP. RIAU,76.46,141682.65,68.24,10.46,5.46
DKI JAKARTA,81.65,298359.97,71.21,11.3,4.61
JAWA BARAT,73.12,49038.41,71.57,9.14,7.52
JAWA TENGAH,72.79,42149.54,72.61,8.38,10.02
DI YOGYAKARTA,80.64,44044.64,73.27,10.07,10.64
JAWA TIMUR,72.75,66364.73,69.51,8.5,7.78
BANTEN,73.32,60990.14,68.15,9.46,5.89
BALI,76.44,55544.66,70.39,9.74,4.12
NUSA TENGGARA BARAT,69.46,28672.54,64.81,8.31,13.98
NUSA TENGGARA TIMUR,65.9,21718.26,65.28,8.25,9.00
KALIMANTAN BARAT,68.63,46161.33,68.87,8.1,4.63
KALIMANTAN TENGAH,71.63,72945.07,67.89,9.03,5.09
KALIMANTAN SELATAN,71.84,60079.32,66.97,8.89,4.03
KALIMANTAN TIMUR,77.44,238700.72,72.79,10.13,4.97
KALIMANTAN UTARA,71.83,190611.1,70.69,9.45,5.58
SULAWESI UTARA,73.81,59043.36,69.89,9.87,5.04
SULAWESI TENGAH,70.28,105545.36,66.91,9.17,9.13
SULAWESI SELATAN,72.82,65593.03,68.77,9.09,4.98
SULAWESI TENGGARA,72.23,58764.27,69.35,9.59,7.22
GORONTALO,69.81,39886.78,66.27,8.39,4.49
SULAWESI BARAT,66.92,37070.31,63.39,8.47,9.33
MALUKU,70.22,28533.85,64.23,10.37,5.90
MALUKU UTARA,69.47,53741.05,66.55,9.6,6.17
PAPUA BARAT,65.89,77149.68,64.33,10.14,7.64
PAPUA,61.39,59411.79,64.15,7.31,5.29
